Number,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24hr), 1h, 24h, 7d
313,AirToken,AIR,23957010,0.0228162,1050000000,514698,1.48,42,3.33
314,Game.com,GTC,23938650,0.0797955,300000000,1136620,0.19,15.78,-19.56
315,Aeron,ARN,23934690,1.84113,13000000,977400,0.75,13.24,1.23
316,Soarcoin,SOAR,23885867.14,0.0241801,987831611,31918,-0.99,13.5,3.25
317,Boolberry,BBR,23726816.43,2.14537,11059545.17,20041.9,-1.07,25.06,-7.33
318,CanYaCoin,CAN,23563734.64,0.639452,36849888.09,331825,0.44,1.53,-18.72
319,Xenon,XNN,23360460,0.0778682,300000000,1099.4,-1.03,48.79,42.78
320,EncrypGen,DNA,23073993.57,0.369258,62487457.46,126549,-3.54,6.8,-17.28
321,NuShares,NSR,22934343.91,0.00825689,2777600756,8723.44,29.4,44.18,5.19
322,Peerplays,PPY,22768860.26,5.75713,3954897.712,661.826,-1,-3.44,-1.61
323,Swarm City,SWT,22519573,2.79781,8049000.112,4252760,0.08,25.15,17.34
324,Covesting,COV,22453900,1.28308,17500000,54747.7,-2.74,10.05,-15.14
325,Mothership,MSP,22367940,0.159771,140000000,223916,-0.87,-0.94,-14.54
326,HelloGold,HGT,22295264.44,0.0847617,263034654.1,47573.3,0.26,12.14,-9.11
327,BitConnect,BCC,22256684.32,2.41476,9216934.319,180651,1.1,8.65,-62.23
328,Universal Cur...,UNIT,21659246.99,1.67226,12952081.01,62732.7,-0.65,12.11,28.22
329,Numeraire,NMR,21607241.06,16.686,1294932.342,253146,-0.44,10.2,-5.24
330,Radium,RADS,21522381.43,6.24139,3448331.45,251097,-2.19,13.39,-1.86
331,NewYorkCoin,NYC,21391705.71,0.000161831,132185463284,32017,1.03,51.13,45.78
332,Open Trading ...,OTN,21180596.57,5.89598,3592379.31,63460.6,-2.38,12.14,-28.56
333,GET Protocol,GET,21113964.04,2.03324,10384393.4,10210,-0.58,41.69,62.1
334,Omni,OMNI,21108463.81,37.655,560575.3237,82552.9,-0.53,15.9,-0.22
335,OKCash,OK,20897687.66,0.283431,73731129.14,548538,-0.77,15.07,-4.24
336,Snovio,SNOV,20890054.55,0.0515802,405001426,734495,-1.28,23.29,-6.95
337,Stox,STX,20822228.31,0.494156,42136953.33,781308,0.06,11.52,-11.98
338,SolarCoin,SLR,20659384.86,0.530079,38974162.08,198085,-1.14,6.24,-10.33
339,Zoin,ZOI,20632205,1.24,16638875,359155,0.51,32.99,5.86
340,Hacken,HKN,20582053.89,5.53852,3716164.948,182916,-0.9,37.23,49.45
341,Myriad,XMY,20042392.58,0.0129204,1551220750,201681,0.45,22.2,3.14
342,Rubycoin,RBY,19973535.43,0.789811,25289006.39,22555.3,-1.46,19.25,7.82
343,MonetaryUnit,MUE,19840519.92,0.159622,124296900.9,124858,-2.91,12.52,-8.38
344,CoinMeet,MEE,19837996.2,0.102825,192929698,5171210,-2.6,37.35,-5.11
345,Profile Utili...,PUT,19788962.74,0.945784,20923342.69,3653880,-1.07,14.37,-28.38
346,Uquid Coin,UQC,19444700,1.94447,10000000,192213,-1.12,14.5,25.73
347,eBitcoin,EBTC,19224235.25,1.01731,18897126,310296,1.69,8.53,4.78
348,Bounty0x,BNTY,19222006.55,0.156437,122873786.6,383232,-3.24,15.48,-2.19
349,BitDice,CSNO,19219970,0.274571,70000000,54512.2,-1,25.7,5.33
350,Energycoin,ENRG,19120489.98,0.157214,121620784.3,32836.4,0.42,11.69,13.08
351,Waves Communi...,WCT,18877192.44,1.89272,,138187,-8.83,21.53,-2.54
352,OAX,OAX,18849821.54,0.753714,25009249.58,404322,-1.37,12.71,-6.52
353,LoMoCoin,LMC,18791240.01,0.0832465,225730090.9,115166,0.53,20.07,8.25
354,KickCoin,KICK,18552065.45,0.0577698,321137782.3,314902,-1.59,10.98,5.13
355,OracleChain,OCT,18400800,0.61336,30000000,67697,1.05,15.12,-5.72
356,Golos,GOLOS,18385836.92,0.147655,124518891.4,96061.3,-1.81,9,-23.38
357,Etheroll,DICE,18343901.26,2.61995,7001622.649,87018.6,1.16,11.53,6.12
358,Aurora DAO,AURA,18286400,0.182864,100000000,26743.6,-0.56,16.14,19.95
359,BitSend,BSD,18143916.22,1.00078,18129775,381685,-1.32,12.09,8.37
360,Oxycoin,OXY,17913992.57,0.187464,95559641.14,8178.37,-0.82,7.46,9.13
361,Viuly,VIU,17911118.25,0.0289701,618262217,1805970,-3.29,21.08,-16.47
362,Clams,CLAM,17728003.51,6.1942,2862032.791,155568,-1.54,13.41,8.06
363,GoByte,GBX,17698855.81,24.5956,719594.3913,317319,-2.33,4.5,15.43
364,Nexium,NXC,17593813.56,0.264485,66521026,58344.2,-1.52,16.92,0.88
365,Polybius,PLBT,17591746.82,4.60402,3820953.606,51896.6,2.16,11.91,4.09
366,Gambit,GAM,17517837.04,14.5948,1200279.349,20435.2,-6.5,9.46,3.77
367,Primas,PST,17496934.4,0.341737,51200000,312168,-3.67,7.46,-14.89
368,LUXCoin,LUX,17410363.02,17.1145,1017287.272,429183,-1.14,19.24,-5.97
369,Blackmoon,BMC,17403806.42,0.830918,20945275.49,533689,0.23,5.05,-2.02
370,Unity Ingot,UNY,17275019.8,0.0855199,202000000,5976220,8.01,668.9,3228.73
371,ALIS,ALIS,17217950.34,0.446771,38538648.09,33588.8,-1.62,7.77,8.15
372,LockChain,LOC,17057517.88,1.83553,9292966,131339,-8.49,21.21,28.74
373,NeosCoin,NEOS,17055424.94,4.62654,3686431.965,111106,-3.33,7.41,-4.32
374,Circuits of V...,COVAL,16917100,0.0169171,1000000000,326583,1.67,20.47,49.46
375,Xaurum,XAUR,16913868.99,0.133039,127134667.2,100667,-1.18,9.73,-6.32
376,ATBCoin,ATB,16879278.11,0.412572,40912321.02,2733980,-0.47,11.65,17.68
377,DecentBet,DBET,16765397.9,0.160366,104544591.1,18618.4,-1.03,1.47,-16.78
378,ProChain,PRA,16728978.18,0.360164,46448224.09,765791,-0.03,8.38,-14.52
379,bitUSD,BITUSD,16709556.75,1.13332,14743900,2464410,-0.3,-0.24,12.41
380,Voise,VOISE,16458200.06,0.0329898,498887536.7,1010130,-1.24,26.99,-14.03
381,Primecoin,XPM,16430320.36,0.732395,22433687.23,123658,-2.27,24.15,-1.8
382,Paragon,PRG,16419093.8,0.252848,64936617.25,108349,-0.35,12.25,-20.02
383,BLUE,BLUE,16408619.66,0.447769,36645278.39,41364.8,-2.04,3.75,-10.04
384,Hedge,HDG,16290663.9,4.3914,3709674.34,36007,-0.83,10.07,-8.7
385,Rivetz,RVT,16271727.74,0.620006,26244468.18,7458.05,-0.99,4.63,-17.27
386,Ecobit,ECOB,16201244.44,0.0364528,,3677.75,-1.1,9.75,-6.74
387,Auroracoin,AUR,16006561.56,1.84873,8658139.136,129375,-0.98,16.98,10.69
388,Databits,DTB,15860522.76,0.697233,22747808.5,35578.8,1.31,8.75,2.88
389,FlorinCoin,FLO,15803600.22,0.111389,141877566.2,382667,-1.3,27.63,4.34
390,Chronobank,TIME,15604871.04,21.9752,710112.8108,247927,-0.75,8.88,3.3
391,FoldingCoin,FLDC,15570904.38,0.0271028,574512758,114683,-2.16,11.53,7.78
392,Mintcoin,MINT,15467276.75,0.000619999,24947260808,44945.8,-0.99,30.11,7.75
393,Quantum,QAU,15408811.5,0.202505,76091017.53,10256.8,-1.27,19.33,16.9
394,ClearPoll,POLL,15289030.34,2.18415,6999991,364964,5.15,19.5,8.5
395,Aventus,AVT,15096420,2.51607,6000000,369237,-1,5.9,3.54
396,OneRoot Network,RNT,15041488.28,0.0810855,185501578.9,254234,0.4,8.81,-6.67
397,Neutron,NTRN,14995306.34,0.442856,33860456.54,38519.7,6.99,35.29,6.12
398,AICHAIN,AIT,14896137.5,0.0769684,193535756.2,124727,4.03,16.43,-2.1
399,Blockport,BPT,14791496.98,0.298238,49596285.45,96242,-5.68,6.79,-11.34
400,Patientory,PTOY,14768040,0.210972,70000000,1635710,-1.13,15.98,-3
401,DubaiCoin,DBIX,14747957.38,7.27552,2027065.747,85335.7,-1.74,8.76,-10.44
402,ICOS,ICOS,14727867.68,25.3209,581648.6651,236843,-1.2,7.17,-6.48
403,PRIZM,PZM,14639573.18,1.00715,14535643.33,13421.3,-0.71,7.52,19.6
404,Pandacoin,PND,14451579.96,0.00044446,32514916898,20610.7,0.58,5.4,4.46
405,E-Dinar Coin,EDR,14445787.13,0.0163006,886211987.7,27210.8,-0.09,14.64,39.35
406,Obsidian,ODN,14422300,0.576892,25000000,64555.4,-0.13,22.28,4.39
407,Exchange Union,XUC,14221440,7.11072,2000000,418403,-0.19,7.43,-4.68
408,Divi,DIVX,14198761.23,2.76079,5143006.615,65784,-1.07,10.61,8.04
409,Pirl,PIRL,14181647.49,1.45031,9778356,85620.5,-2.02,7.1,-1.14
410,Gatcoin,GAT,14064695.28,0.0265441,529861448.7,92401.5,-1.63,-3.48,-29.55
411,InvestFeed,IFT,13947081.35,0.0728759,191381257,24941.8,0.74,3.63,-16.43
412,Dai,DAI,13840156.62,0.997717,13871826,1223190,-0.29,-0.72,-1.15
413,LIFE,LIFE,13629376.21,0.000983816,13853582588,59952.2,-15.61,-10.83,-24.94
414,Syndicate,SYNX,13582688.05,0.746156,18203550,1818250,0.95,13.39,-1.27
415,Pluton,PLU,13504452.06,15.8876,849999.5,30988.8,-0.85,17.43,-19.55
